datetime,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2021-03-01 20:00:00,0.0,1608.8,28.2,77.0,5.4
2021-03-02 13:00:00,0.0,1344.8,27.9,82.0,2.1
2021-03-02 15:00:00,0.0,2702.3,27.7,84.0,5.5
2021-03-02 16:00:00,0.0,1643.2,28.1,80.0,4.9
2021-03-02 17:00:00,0.0,2571.9,28.4,78.0,4.8
2021-03-02 18:00:00,0.0,1617.0,28.3,75.0,4.4
2021-03-02 19:00:00,0.0,2060.7,28.8,76.0,4.2
2021-03-03 12:00:00,0.0,1118.6,26.8,100.0,0.9
2021-03-03 13:00:00,0.0,2274.7,28.5,83.0,3.4
2021-03-03 14:00:00,0.0,2814.4,29.3,76.0,4.6
2021-03-04 12:00:00,0.0,1094.9,25.4,100.0,1.6
2021-03-04 13:00:00,0.0,2246.7,28.0,78.0,3.3
2021-03-04 14:00:00,0.0,2800.4,28.6,76.0,4.2
2021-03-04 18:00:00,3.2,788.9,27.8,90.0,4.3
2021-03-05 13:00:00,0.0,553.5,29.1,59.0,5.9
2021-03-05 14:00:00,0.0,520.5,29.2,59.0,5.9
2021-03-05 15:00:00,0.0,560.3,29.2,63.0,8.2
2021-03-06 14:00:00,0.0,793.4,26.4,93.0,2.5
2021-03-06 15:00:00,0.0,1174.4,26.5,91.0,6.6
2021-03-06 16:00:00,0.0,939.1,25.2,89.0,9.4
2021-03-07 14:00:00,0.0,1664.5,26.6,74.0,2.7
2021-03-07 15:00:00,0.0,1175.1,24.2,100.0,3.3
2021-03-07 18:00:00,5.4,353.2,23.0,100.0,3.0
2021-03-08 12:00:00,0.0,673.5,24.6,100.0,1.9
2021-03-08 13:00:00,0.0,1880.8,26.2,81.0,1.9
2021-03-08 14:00:00,0.0,2306.8,27.3,76.0,4.1
2021-03-08 15:00:00,0.0,2542.8,27.3,74.0,4.5
2021-03-08 16:00:00,0.0,2803.4,27.4,74.0,4.8
2021-03-08 17:00:00,0.0,2086.8,27.1,78.0,4.8
2021-03-08 18:00:00,0.0,894.6,27.0,77.0,4.6
2021-03-09 12:00:00,0.0,1313.3,25.6,100.0,2.1
2021-03-09 13:00:00,0.0,2268.4,27.7,70.0,2.6
2021-03-09 14:00:00,0.0,2683.2,28.2,67.0,3.8
2021-03-09 15:00:00,0.0,3363.5,28.9,69.0,4.7
2021-03-09 16:00:00,0.0,3558.0,29.0,67.0,5.9
2021-03-09 17:00:00,0.0,3457.7,28.8,68.0,5.9
2021-03-09 18:00:00,0.0,3097.9,29.2,64.0,5.6
2021-03-09 19:00:00,0.0,2301.6,28.3,67.0,5.7
2021-03-10 12:00:00,0.0,1479.2,24.5,69.0,1.6
2021-03-10 13:00:00,0.0,2307.6,26.7,61.0,4.6
2021-03-10 14:00:00,0.0,2645.8,27.9,58.0,5.1
2021-03-10 15:00:00,0.0,2990.2,27.6,61.0,5.9
2021-03-10 16:00:00,0.0,2816.1,27.1,63.0,6.9
2021-03-10 17:00:00,0.0,2166.4,26.9,64.0,7.1
2021-03-11 12:00:00,0.0,1442.4,25.7,87.0,1.8
2021-03-11 13:00:00,0.0,1614.2,26.6,74.0,3.2
2021-03-11 14:00:00,0.0,2088.8,27.4,71.0,3.6
2021-03-11 15:00:00,0.0,1492.4,27.9,72.0,4.1
2021-03-11 16:00:00,0.0,2368.6,28.0,72.0,5.0
2021-03-11 17:00:00,0.0,2325.0,28.9,68.0,4.7
2021-03-11 18:00:00,0.0,898.8,27.2,71.0,4.7
2021-03-11 20:00:00,0.0,176.4,26.8,79.0,2.6
2021-03-12 12:00:00,0.0,803.8,26.0,100.0,2.1
2021-03-12 13:00:00,0.0,1111.9,27.0,89.0,5.6
2021-03-12 14:00:00,0.0,1019.2,27.1,82.0,4.7
2021-03-12 15:00:00,0.0,1014.1,27.2,83.0,5.0
2021-03-13 12:00:00,0.0,1399.3,27.0,100.0,1.7
2021-03-13 13:00:00,0.0,2150.1,28.8,76.0,3.6
2021-03-13 14:00:00,0.0,2564.6,29.1,72.0,5.3
2021-03-14 12:00:00,0.0,1337.5,27.3,100.0,3.3
